target_pid,target_tid,last_switch_out_s,ready_s,switch_in_s,next_switch_out_s,waits_us,ready_us,cpu_usage_ms,count,cpu,readying_scope,readying_tid
6568,5992,41.361433600,41.361449900,41.361453600,41.361462900,16.300,3.700,0.009300,1,9,same_process,12564
6568,5992,41.361462900,41.361467600,41.361470700,41.361479100,4.700,3.100,0.008400,1,9,same_process,12564
6568,5992,41.361479100,41.361545400,41.361548600,41.361589100,66.300,3.200,0.040500,1,9,same_process,12564
6568,5992,41.361589100,41.361876300,41.361880000,41.362253300,287.200,3.700,0.373300,1,9,same_process,12564
6568,5992,41.362253300,41.375704100,41.375708600,41.376166400,"13,450.800",4.500,0.457800,1,12,same_process,12560
6568,5992,41.376166400,41.376599300,41.376602900,41.377168400,432.900,3.600,0.565500,1,9,same_process,12560
6568,5992,41.377168400,41.378169600,41.378173700,41.378488000,"1,001.200",4.100,0.314300,1,9,same_process,12560
6568,5992,41.378488000,41.378490900,41.378494200,41.378505100,2.900,3.300,0.010900,1,9,same_process,12564
6568,5992,41.378505100,41.378505100,41.378507700,41.378516100,0.000,2.600,0.008400,1,9,same_process,12564
6568,5992,41.378516100,41.378827600,41.378831900,41.379693900,311.500,4.300,0.862000,1,9,same_process,12564
6568,5992,41.379693900,41.380806000,41.380809800,41.380823600,"1,112.100",3.800,0.013800,1,9,same_process,12560
6568,5992,41.380823600,41.381095400,41.381099400,41.381205500,271.800,4.000,0.106100,1,9,same_process,12564
6568,5992,41.381205500,41.381225400,41.381229200,41.381402300,19.900,3.800,0.173100,1,9,same_process,12564
6568,5992,41.381402300,41.381906600,41.381910300,41.381931400,504.300,3.700,0.021100,1,8,same_process,12560
6568,5992,41.381931400,41.389795300,41.389800000,41.389812700,"7,863.900",4.700,0.012700,1,9,same_process,12564
6568,5992,41.389812700,41.394561300,41.394565400,41.394706200,"4,748.600",4.100,0.140800,1,9,same_process,4612
6568,5992,41.394706200,41.395122000,41.395126400,41.395547400,415.800,4.400,0.421000,1,9,same_process,12560
