target_pid,target_tid,timestamp_s,weight_ms,count,leaf_class,leaf_module,xemu_rva
6568,5992,28.411075000,1.000000,1,xemu_image,xemu.exe,0x0027543d
6568,5992,28.496007800,1.000000,1,xemu_image,xemu.exe,0x001d3feb
6568,5992,29.349739500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,30.128831100,1.000000,1,external_module,msvcrt.dll,
6568,5992,32.980664900,1.000000,1,xemu_image,xemu.exe,0x002ab45d
6568,5992,33.194841700,1.000000,1,xemu_image,xemu.exe,0x0011e65f
6568,5992,33.755526500,1.000000,1,xemu_image,xemu.exe,0x00277ca9
6568,5992,33.781588400,1.000000,1,external_module,nvoglv64.dll,
6568,5992,34.570893000,1.000000,1,xemu_image,xemu.exe,0x00298ba1
6568,5992,35.568576800,1.000000,1,external_module,ntdll.dll,
6568,5992,36.410556700,1.000000,1,external_module,msvcrt.dll,
6568,5992,36.693294400,1.000000,1,xemu_image,xemu.exe,0x001d1ac4
6568,5992,37.045911700,1.000000,1,xemu_image,xemu.exe,0x00298774
6568,5992,37.525187200,1.000000,1,external_module,msvcrt.dll,
6568,5992,38.421385900,1.000000,1,external_module,msvcrt.dll,
6568,5992,38.677814500,1.000000,1,xemu_image,xemu.exe,0x0011e663
6568,5992,39.435475900,1.000000,1,xemu_image,xemu.exe,0x0011e650
6568,5992,39.994513500,1.000000,1,external_module,nvoglv64.dll,
6568,5992,40.640250900,1.000000,1,xemu_image,xemu.exe,0x0011e60d
6568,5992,41.079105800,1.000000,1,external_module,ntoskrnl.exe,
6568,5992,41.530449300,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.822465900,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.824369100,1.000000,1,xemu_image,xemu.exe,0x001d469a
6568,5992,21.827953000,1.000000,1,xemu_image,xemu.exe,0x002ab4c7
6568,5992,21.829970200,1.000000,1,xemu_image,xemu.exe,0x002756da
6568,5992,21.847844100,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.850422200,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.866450200,1.000000,1,xemu_image,xemu.exe,0x0011e681
6568,5992,21.869009500,1.000000,1,xemu_image,xemu.exe,0x001d1ae4
6568,5992,21.873402100,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.875752800,1.000000,1,xemu_image,xemu.exe,0x001d4022
6568,5992,21.878870600,1.000000,1,xemu_image,xemu.exe,0x0011e644
6568,5992,21.890293000,1.000000,1,xemu_image,xemu.exe,0x001d4070
6568,5992,21.892658800,1.000000,1,xemu_image,xemu.exe,0x001d4078
6568,5992,21.909973800,1.000000,1,external_module,nvoglv64.dll,
6568,5992,21.911816000,1.000000,1,external_module,msvcrt.dll,
6568,5992,21.913875400,1.000000,1,external_module,ntdll.dll,
6568,5992,21.915713900,1.000000,1,xemu_image,xemu.exe,0x002968f2
6568,5992,21.918016400,1.000000,1,external_module,msvcrt.dll,
