renderer,test_id,kind,baseline_outcome,main_outcome,pr85_outcome,parent_outcome,candidate_outcome,candidate_vs_baseline,pr85_vs_main,parent_vs_pr85,candidate_vs_parent,raw_direction,baseline_median_us,main_median_us,pr85_median_us,parent_median_us,candidate_median_us,improvement_parent_vs_pr85_pct,improvement_pr85_vs_main_pct,improvement_vs_baseline_pct,improvement_vs_parent_pct,baseline_hash,main_hash,pr85_hash,parent_hash,candidate_hash
vulkan,game_load.pgr2_ai_backup.streaming_only,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,4064,3984,4014,4607,-0.75,+1.97,,-14.77,,f43007e31b972325,f43007e31b972325,f43007e31b972325,f43007e31b972325
vulkan,game_load.repeated_display,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16629,16593,16631,16583,-0.23,+0.22,,+0.29,,e758dbbf4edc2325,e758dbbf4edc2325,e758dbbf4edc2325,e758dbbf4edc2325
vulkan,game_load.repeated_display_boosted,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,49922,49874,49942,49919,-0.14,+0.10,,+0.05,,60315b1c33b6a325,60315b1c33b6a325,60315b1c33b6a325,60315b1c33b6a325
vulkan,game_load.s3tc_sync_factor,group,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,,,,,,,,,,,,db28300321744de5,db28300321744de5,db28300321744de5,db28300321744de5
vulkan,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,49858,49939,49834,49932,+0.21,-0.16,,-0.20,,db28300321744de5,db28300321744de5,db28300321744de5,db28300321744de5
vulkan,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16584,16656,16554,16674,+0.61,-0.43,,-0.72,,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,49883,49794,49838,50226,-0.09,+0.18,,-0.78,,db28300321744de5,db28300321744de5,db28300321744de5,db28300321744de5
vulkan,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16615,16500,16630,16617,-0.79,+0.69,,+0.08,,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.dxt1_dirty_once_redraw,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16572,16591,16547,16647,+0.27,-0.11,,-0.60,,428c04bbb0a62725,428c04bbb0a62725,428c04bbb0a62725,428c04bbb0a62725
vulkan,game_load.s3tc_sync_factor.dxt1_ring_payload_generations,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16500,16593,16612,16651,-0.11,-0.56,,-0.23,,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.dxt1_same_address_queued,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,HASH_INELIGIBLE_OUTCOME_MATCH,HASH_INELIGIBLE_OUTCOME_MATCH,HASH_INELIGIBLE_OUTCOME_MATCH,+bad,,16648,16713,16746,16645,-0.20,-0.39,,+0.60,,a6f06fa8e5026141,3a2375ffd2737565,53ffa8c61330e3c8,ce09fa4c5da79a74
vulkan,game_load.s3tc_sync_factor.dxt1_same_address_wait,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16497,16572,16780,16584,-1.26,-0.45,,+1.17,,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,16525,16561,16588,16534,-0.16,-0.22,,+0.33,,428c04bbb0a62725,428c04bbb0a62725,428c04bbb0a62725,428c04bbb0a62725
vulkan,game_load.s3tc_sync_factor.rgba8_ring_payload_generations,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,49732,49698,50012,49897,-0.63,+0.07,,+0.23,,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.rgba8_same_address_queued,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,HASH_INELIGIBLE_OUTCOME_MATCH,HASH_INELIGIBLE_OUTCOME_MATCH,HASH_INELIGIBLE_OUTCOME_MATCH,+bad,,49793,49988,49668,49230,+0.64,-0.39,,+0.88,,270f297597abf23e,96fd62f4d17aae5c,6dfd347cfc6aebdd,cc2f84e4c0157c4c
vulkan,game_load.s3tc_sync_factor.rgba8_same_address_wait,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,49487,49626,50219,49955,-1.19,-0.28,,+0.53,,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5,3403675459d4d3d5
vulkan,high_vertex_count.arrays,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,90,90,80,84,+11.11,+0.00,,-5.00,,a27c67890c2d9083,a27c67890c2d9083,a27c67890c2d9083,a27c67890c2d9083
vulkan,high_vertex_count.inline_arrays,leaf,,PASS,PASS,PASS,PASS,NOT_COMPARABLE,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,OUTCOME_AND_HASH_MATCH,+bad,,47359,47057,47498,49619,-0.94,+0.64,,-4.47,,a27c67890c2d9083,a27c67890c2d9083,a27c67890c2d9083,a27c67890c2d9083
