test_id,kind,parent_outcome,candidate_outcome,parent_hash,candidate_hash,parent_median_us,candidate_median_us,status,improvement_pct
primitive_type.lines.vertex_shader,leaf,PASS,PASS,1766a7f93aa72a14,1766a7f93aa72a14,1247,1274,OUTCOME_AND_HASH_MATCH,-2.17
primitive_type.points.fixed_function,leaf,PASS,PASS,5b296619f665c070,5b296619f665c070,664,671,OUTCOME_AND_HASH_MATCH,-1.05
primitive_type.points.vertex_shader,leaf,PASS,PASS,5b296619f665c070,5b296619f665c070,650,671,OUTCOME_AND_HASH_MATCH,-3.23
primitive_type.polygon.fixed_function,leaf,PASS,PASS,2c4beaa06aba1000,2c4beaa06aba1000,653,659,OUTCOME_AND_HASH_MATCH,-0.92
primitive_type.polygon.vertex_shader,leaf,PASS,PASS,2c4beaa06aba1000,2c4beaa06aba1000,661,666,OUTCOME_AND_HASH_MATCH,-0.76
primitive_type.quad_strip.fixed_function,leaf,PASS,PASS,f64b4495347cec73,f64b4495347cec73,1255,1269,OUTCOME_AND_HASH_MATCH,-1.12
primitive_type.quad_strip.vertex_shader,leaf,PASS,PASS,f64b4495347cec73,f64b4495347cec73,1294,1251,OUTCOME_AND_HASH_MATCH,+3.32
primitive_type.quads.fixed_function,leaf,PASS,PASS,114a1419338256e5,114a1419338256e5,2506,2489,OUTCOME_AND_HASH_MATCH,+0.68
primitive_type.quads.vertex_shader,leaf,PASS,PASS,114a1419338256e5,114a1419338256e5,2507,2458,OUTCOME_AND_HASH_MATCH,+1.95
primitive_type.triangle_fan.fixed_function,leaf,PASS,PASS,36644f0fd11db166,36644f0fd11db166,652,658,OUTCOME_AND_HASH_MATCH,-0.92
primitive_type.triangle_fan.vertex_shader,leaf,PASS,PASS,36644f0fd11db166,36644f0fd11db166,673,667,OUTCOME_AND_HASH_MATCH,+0.89
primitive_type.triangle_strip.fixed_function,leaf,PASS,PASS,d7b289579fdaa1ab,d7b289579fdaa1ab,664,666,OUTCOME_AND_HASH_MATCH,-0.30
primitive_type.triangle_strip.vertex_shader,leaf,PASS,PASS,d7b289579fdaa1ab,d7b289579fdaa1ab,664,665,OUTCOME_AND_HASH_MATCH,-0.15
primitive_type.triangles.fixed_function,leaf,PASS,PASS,72f05baf369ceb60,72f05baf369ceb60,1831,1876,OUTCOME_AND_HASH_MATCH,-2.46
primitive_type.triangles.vertex_shader,leaf,PASS,PASS,72f05baf369ceb60,72f05baf369ceb60,1821,1885,OUTCOME_AND_HASH_MATCH,-3.51
report_query.clear_boundary,leaf,PASS,PASS,b5eb7c4b9c8da325,b5eb7c4b9c8da325,1743,1768,OUTCOME_AND_HASH_MATCH,-1.43
report_query.dma_descriptor_rewrite,leaf,PASS,PASS,c0c0fdbececda325,c0c0fdbececda325,35473,9552,OUTCOME_AND_HASH_MATCH,+73.07
report_query.dma_range_guard,leaf,FAIL,FAIL,3f648ce11a4da325,3f648ce11a4da325,12033569,12068358,OUTCOME_AND_HASH_MATCH,
report_query.dma_target_switch,leaf,PASS,PASS,4c4bd8cd440da325,4c4bd8cd440da325,1768,1775,OUTCOME_AND_HASH_MATCH,-0.40
report_query.fifo_producer_ordering,leaf,PASS,PASS,0d907c24a88da325,0d907c24a88da325,2806,2828,OUTCOME_AND_HASH_MATCH,-0.78
report_query.multiple_boundaries,leaf,PASS,PASS,0c966fc9ba4da325,0c966fc9ba4da325,1360,1424,OUTCOME_AND_HASH_MATCH,-4.71
report_query.single_boundary,leaf,PASS,PASS,60e674c9fecda325,60e674c9fecda325,1462,1362,OUTCOME_AND_HASH_MATCH,+6.84
report_query.zero_query,leaf,PASS,PASS,23875dfeb40da325,23875dfeb40da325,1318,1313,OUTCOME_AND_HASH_MATCH,+0.38
surface.basic,leaf,PASS,PASS,5a719d88d8221fb2,5a719d88d8221fb2,41550,36872,OUTCOME_AND_HASH_MATCH,+11.26
surface.cpu_read_after_gpu_write,leaf,PASS,PASS,76ea18af98322325,76ea18af98322325,2183,2109,OUTCOME_AND_HASH_MATCH,+3.39
surface.cpu_read_clean_surface,leaf,PASS,PASS,d3267b427820a325,d3267b427820a325,57,58,OUTCOME_AND_HASH_MATCH,-1.75
surface.framebuffer_working_set_002,leaf,PASS,PASS,9f3b0609a42777d5,9f3b0609a42777d5,2524,2084,OUTCOME_AND_HASH_MATCH,+17.43
surface.framebuffer_working_set_008,leaf,PASS,PASS,64cbf95dec8f59e5,64cbf95dec8f59e5,2238,2033,OUTCOME_AND_HASH_MATCH,+9.16
surface.framebuffer_working_set_032,leaf,PASS,PASS,a6116feb11a28c25,a6116feb11a28c25,2117,2226,OUTCOME_AND_HASH_MATCH,-5.15
surface.framebuffer_working_set_064,leaf,PASS,PASS,a6116feb11a28c25,a6116feb11a28c25,2257,2165,OUTCOME_AND_HASH_MATCH,+4.08
surface.full_clear_elision_guard,leaf,PASS,PASS,4f05ccd43f43d495,4f05ccd43f43d495,3272,3169,OUTCOME_AND_HASH_MATCH,+3.15
surface.overlapping_surface_churn_representative,leaf,PASS,PASS,caf66d4bf5691525,caf66d4bf5691525,3532,3498,OUTCOME_AND_HASH_MATCH,+0.96
surface.overlapping_surface_churn_stress,leaf,PASS,PASS,caf66d4bf5691525,caf66d4bf5691525,47806,48059,OUTCOME_AND_HASH_MATCH,-0.53
surface.partial_channel_clear_guard,leaf,PASS,PASS,eb2cb498aa73af25,eb2cb498aa73af25,2197,2218,OUTCOME_AND_HASH_MATCH,-0.96
surface.surface_download_path,leaf,PASS,PASS,2b0e8aac0f8838e8,2b0e8aac0f8838e8,33855,32477,OUTCOME_AND_HASH_MATCH,+4.07
surface.surface_list_lookup_002,leaf,PASS,PASS,dce4c9394e7a3f35,dce4c9394e7a3f35,1688,1624,OUTCOME_AND_HASH_MATCH,+3.79
surface.surface_list_lookup_008,leaf,PASS,PASS,bf1fe5b8fe78a94d,bf1fe5b8fe78a94d,1729,1653,OUTCOME_AND_HASH_MATCH,+4.40
surface.surface_list_lookup_032,leaf,PASS,PASS,c6275b91195a5325,c6275b91195a5325,1764,1647,OUTCOME_AND_HASH_MATCH,+6.63
surface.surface_list_lookup_128,leaf,PASS,PASS,c6275b91195a5325,c6275b91195a5325,1890,1976,OUTCOME_AND_HASH_MATCH,-4.55
surface.vulkan_memory_pressure.representative,group,PASS,PASS,7e188dabb186cb25,7e188dabb186cb25,,,OUTCOME_AND_HASH_MATCH,
surface.vulkan_memory_pressure.representative.alias_resize,leaf,PASS,PASS,0c26236493b4d325,0c26236493b4d325,28700,27566,OUTCOME_AND_HASH_MATCH,+3.95
surface.vulkan_memory_pressure.representative.growth,leaf,PASS,PASS,c1b304b452852b25,c1b304b452852b25,28229,27233,OUTCOME_AND_HASH_MATCH,+3.53
surface.vulkan_memory_pressure.representative.idle_retention,leaf,PASS,PASS,3a8651789ea0fa25,3a8651789ea0fa25,602,604,OUTCOME_AND_HASH_MATCH,-0.33
surface.vulkan_memory_pressure.representative.plateau,leaf,PASS,PASS,730005d86af45b25,730005d86af45b25,27663,27603,OUTCOME_AND_HASH_MATCH,+0.22
surface.vulkan_memory_pressure.representative.reuse,leaf,PASS,PASS,3ba0d18066aacb25,3ba0d18066aacb25,30625,26977,OUTCOME_AND_HASH_MATCH,+11.91
surface.vulkan_memory_pressure.stress,group,PASS,PASS,7e188dabb186cb25,7e188dabb186cb25,,,OUTCOME_AND_HASH_MATCH,
surface.vulkan_memory_pressure.stress.alias_resize,leaf,PASS,PASS,84a8d75f1f9d1b25,84a8d75f1f9d1b25,140991,127404,OUTCOME_AND_HASH_MATCH,+9.64
surface.vulkan_memory_pressure.stress.growth,leaf,PASS,PASS,94cdb4bddb0e4b25,94cdb4bddb0e4b25,122015,123166,OUTCOME_AND_HASH_MATCH,-0.94
surface.vulkan_memory_pressure.stress.idle_retention,leaf,PASS,PASS,430711a262877725,430711a262877725,596,622,OUTCOME_AND_HASH_MATCH,-4.36
surface.vulkan_memory_pressure.stress.plateau,leaf,PASS,PASS,196f33989be28325,196f33989be28325,124693,122695,OUTCOME_AND_HASH_MATCH,+1.60
surface.vulkan_memory_pressure.stress.reuse,leaf,PASS,PASS,fb2a6abd1cbfc725,fb2a6abd1cbfc725,139470,140350,OUTCOME_AND_HASH_MATCH,-0.63
texture_cubemap_fallback.unbordered_subblock_dxt1,leaf,PASS,PASS,be0f2013c1997ca5,be0f2013c1997ca5,16654,16615,OUTCOME_AND_HASH_MATCH,+0.23
tiny_draw.arrays.fixed_function,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,20656,22028,OUTCOME_AND_HASH_MATCH,-6.64
tiny_draw.arrays.vertex_shader,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,21042,21986,OUTCOME_AND_HASH_MATCH,-4.49
tiny_draw.inline_arrays.fixed_function,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,34025,34728,OUTCOME_AND_HASH_MATCH,-2.07
tiny_draw.inline_arrays.vertex_shader,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,34359,35029,OUTCOME_AND_HASH_MATCH,-1.95
tiny_draw.inline_buffers.fixed_function,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,41475,41730,OUTCOME_AND_HASH_MATCH,-0.61
tiny_draw.inline_buffers.vertex_shader,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,41642,42306,OUTCOME_AND_HASH_MATCH,-1.59
tiny_draw.inline_elements.fixed_function,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,20168,21464,OUTCOME_AND_HASH_MATCH,-6.43
tiny_draw.inline_elements.vertex_shader,leaf,PASS,PASS,acf025546cf667b5,acf025546cf667b5,20659,21343,OUTCOME_AND_HASH_MATCH,-3.31
uniform_thrash.uniform_thrash,leaf,PASS,PASS,09eb5907ef624c25,09eb5907ef624c25,1736,1714,OUTCOME_AND_HASH_MATCH,+1.27
vertex_buffer_allocation.disjoint_same_page,leaf,PASS,PASS,fdcd25a37910bb25,fdcd25a37910bb25,38972,38244,OUTCOME_AND_HASH_MATCH,+1.87
vertex_buffer_allocation.gpu_surface_vertex_attribute_readback,leaf,PASS,PASS,aa6400e75847c772,aa6400e75847c772,6177,4810,OUTCOME_AND_HASH_MATCH,+22.13
vertex_buffer_allocation.mixed.arrays,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,23711,24042,OUTCOME_AND_HASH_MATCH,-1.40
vertex_buffer_allocation.mixed.inline_arrays,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,140540,143474,OUTCOME_AND_HASH_MATCH,-2.09
vertex_buffer_allocation.mixed.inline_buffers,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,550086,574335,OUTCOME_AND_HASH_MATCH,-4.41
vertex_buffer_allocation.mixed.inline_elements,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,35261,35409,OUTCOME_AND_HASH_MATCH,-0.42
vertex_buffer_allocation.ordered_same_page_overwrite,leaf,PASS,PASS,bbc8caeedc9dff25,bbc8caeedc9dff25,15572,15467,OUTCOME_AND_HASH_MATCH,+0.67
vertex_buffer_allocation.rising_transient_growth,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,706141,718926,OUTCOME_AND_HASH_MATCH,-1.81
vertex_buffer_allocation.three_generation_overwrite,leaf,PASS,PASS,05e2405b56d7f125,05e2405b56d7f125,335797,135514,OUTCOME_AND_HASH_MATCH,+59.64
vertex_buffer_allocation.tiny.arrays,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,80864,30900,OUTCOME_AND_HASH_MATCH,+61.79
vertex_buffer_allocation.tiny.inline_arrays,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,44688,54972,OUTCOME_AND_HASH_MATCH,-23.01
vertex_buffer_allocation.tiny.inline_buffers,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,38731,39077,OUTCOME_AND_HASH_MATCH,-0.89
vertex_buffer_allocation.tiny.inline_elements,leaf,PASS,PASS,377e6c029807f325,377e6c029807f325,47763,48633,OUTCOME_AND_HASH_MATCH,-1.82
