renderer,id,kind,outcome,iterations,average_us,median_us,p95_us,framebuffer_fnv1a64
vulkan,game_load.s3tc_sync_factor.rgba8_dirty_once_redraw,leaf,PASS,8,,,,428c04bbb0a62725
vulkan,game_load.s3tc_sync_factor.bc2_native_eligible,leaf,PASS,8,,,,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.bc2_bordered_fallback,leaf,PASS,8,,,,db28300321744de5
vulkan,game_load.s3tc_sync_factor.bc3_native_eligible,leaf,PASS,8,,,,3403675459d4d3d5
vulkan,game_load.s3tc_sync_factor.bc3_bordered_fallback,leaf,PASS,8,,,,db28300321744de5
vulkan,game_load.s3tc_sync_factor,group,PASS,0,,,,db28300321744de5
vulkan,game_load.repeated_display,leaf,PASS,8,,,,e758dbbf4edc2325
vulkan,game_load.repeated_display_boosted,leaf,PASS,8,,,,60315b1c33b6a325
vulkan,game_load.doax_menu_representative.cpu_only,leaf,PASS,8,,,,c9ffff20249e2325
vulkan,game_load.doax_menu_representative.pfifo_only,leaf,PASS,8,,,,db52eb2ea2ee6325
vulkan,game_load.doax_menu_representative.gpu_only,leaf,PASS,8,,,,fbd6d6be7f982325
vulkan,game_load.doax_menu_representative.streaming_only,leaf,PASS,8,,,,f94303d175056325
vulkan,game_load.doax_menu_representative.cpu_pfifo_gpu,leaf,PASS,8,,,,04157941d1aa6325
vulkan,game_load.doax_menu_representative.cpu_pfifo_gpu_streaming,leaf,PASS,8,,,,e6d7900d809f6325
vulkan,game_load.doax_menu_representative.full_system,leaf,PASS,8,,,,3ebb8ee340a52325
vulkan,game_load.doax_menu_stress.cpu_only,leaf,PASS,8,,,,312802588e58a325
vulkan,game_load.doax_menu_stress.pfifo_only,leaf,PASS,8,,,,6251472ce3a6e325
vulkan,game_load.doax_menu_stress.gpu_only,leaf,PASS,8,,,,30126b41ecb96325
vulkan,game_load.doax_menu_stress.streaming_only,leaf,PASS,8,,,,5b922e3ee1312325
vulkan,game_load.doax_menu_stress.cpu_pfifo_gpu,leaf,PASS,8,,,,c94959246d55a325
vulkan,game_load.doax_menu_stress.cpu_pfifo_gpu_streaming,leaf,PASS,8,,,,5dbf320b91a86325
vulkan,game_load.doax_menu_stress.full_system,leaf,PASS,8,,,,545f7965debce325
vulkan,game_load.pgr2_ai_backup.cpu_only,leaf,PASS,8,,,,e086b0a920c42325
vulkan,game_load.pgr2_ai_backup.pfifo_only,leaf,PASS,8,,,,5bc1b07714da2325
vulkan,game_load.pgr2_ai_backup.gpu_only,leaf,PASS,8,,,,f8348ac6eeaaa325
vulkan,game_load.pgr2_ai_backup.streaming_only,leaf,PASS,8,,,,f43007e31b972325
vulkan,game_load.pgr2_ai_backup.cpu_pfifo_gpu,leaf,PASS,8,,,,48c0585f003ea325
vulkan,game_load.pgr2_ai_backup.cpu_pfifo_gpu_streaming,leaf,PASS,8,,,,e0430415b6dbe325
vulkan,game_load.pgr2_ai_backup.full_system,leaf,PASS,8,,,,cb91c33db5046325
vulkan,high_vertex_count.arrays,leaf,PASS,100,,,,a27c67890c2d9083
vulkan,high_vertex_count.inline_arrays,leaf,PASS,10,,,,a27c67890c2d9083
vulkan,high_vertex_count.inline_buffers,leaf,PASS,5,,,,a27c67890c2d9083
vulkan,high_vertex_count.inline_elements,leaf,PASS,50,,,,a27c67890c2d9083
vulkan,pfifo_array_elements.array_element_pgr2,leaf,PASS,8,,,,bbc8b0702ffd0325
vulkan,pfifo_array_elements.array_element16,leaf,PASS,8,,,,9c884de2a5d32325
vulkan,pfifo_array_elements.array_element32,leaf,PASS,8,,,,e079f0cf1a994325
vulkan,pfifo_packet_boundary.array_element16_overflow,leaf,PASS,1,,,,4d1756526f052325
vulkan,pfifo_packet_boundary.array_element32_overflow,leaf,PASS,1,,,,6eb7071be692a325
vulkan,pfifo_packet_boundary.inline_array_overflow,leaf,PASS,1,,,,847da1930526a325
vulkan,pfifo_packet_boundary.incrementing_inline_fallback,leaf,PASS,1,,,,640439ee8ecd2325
vulkan,pipeline_texture_switch.clear_texture_normal,leaf,PASS,8,,,,22ba4f1405cda325
vulkan,pipeline_texture_switch.palette_only_update,leaf,PASS,1,,,,467aab2f95cda325
vulkan,pipeline_texture_switch.sampler_only_identity,leaf,PASS,8,,,,0b8438c8404da325
vulkan,pipeline_texture_switch.shader_negative_control,leaf,PASS,8,,,,f110c8bd6338c325
vulkan,pipeline_texture_switch.shared_page_overlap,leaf,PASS,1,,,,83bb59a8648da325
vulkan,pipeline_texture_switch.texture_switch,leaf,PASS,8,,,,8ae05d31fb00c325
vulkan,primitive_type.line_loop.fixed_function,leaf,PASS,10,,,,f2158581ac6e3919
vulkan,primitive_type.line_loop.vertex_shader,leaf,PASS,10,,,,f2158581ac6e3919
vulkan,primitive_type.line_strip.fixed_function,leaf,PASS,10,,,,f2158581ac6e3919
vulkan,primitive_type.line_strip.vertex_shader,leaf,PASS,10,,,,f2158581ac6e3919
vulkan,primitive_type.lines.fixed_function,leaf,PASS,10,,,,1766a7f93aa72a14
vulkan,primitive_type.lines.vertex_shader,leaf,PASS,10,,,,1766a7f93aa72a14
vulkan,primitive_type.points.fixed_function,leaf,PASS,10,,,,5b296619f665c070
vulkan,primitive_type.points.vertex_shader,leaf,PASS,10,,,,5b296619f665c070
vulkan,primitive_type.polygon.fixed_function,leaf,PASS,10,,,,2c4beaa06aba1000
vulkan,primitive_type.polygon.vertex_shader,leaf,PASS,10,,,,2c4beaa06aba1000
vulkan,primitive_type.quad_strip.fixed_function,leaf,PASS,10,,,,f64b4495347cec73
vulkan,primitive_type.quad_strip.vertex_shader,leaf,PASS,10,,,,f64b4495347cec73
vulkan,primitive_type.quads.fixed_function,leaf,PASS,10,,,,114a1419338256e5
vulkan,primitive_type.quads.vertex_shader,leaf,PASS,10,,,,114a1419338256e5
vulkan,primitive_type.triangle_fan.fixed_function,leaf,PASS,10,,,,36644f0fd11db166
vulkan,primitive_type.triangle_fan.vertex_shader,leaf,PASS,10,,,,36644f0fd11db166
vulkan,primitive_type.triangle_strip.fixed_function,leaf,PASS,10,,,,d7b289579fdaa1ab
vulkan,primitive_type.triangle_strip.vertex_shader,leaf,PASS,10,,,,d7b289579fdaa1ab
vulkan,primitive_type.triangles.fixed_function,leaf,PASS,10,,,,72f05baf369ceb60
vulkan,primitive_type.triangles.vertex_shader,leaf,PASS,10,,,,72f05baf369ceb60
vulkan,report_query.clear_boundary,leaf,PASS,4,,,,b5eb7c4b9c8da325
